player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS
Jc Archer,17,67,55,585,421,3,4,13,78,325,403,23.705882352941178,1.0,23.705882352941178
Ravi Bishnoi,39,37,50,1147,815,1,2,35,42,875,917,23.512820512820515,1.0,23.512820512820515
Mohsin Khan,14,2,8,478,301,0,0,13,2,325,327,23.357142857142858,1.0,23.357142857142858
Mj Santner,19,56,56,447,373,3,3,15,65,375,440,23.157894736842106,1.0,23.157894736842106
Dhruv Jurel,35,680,456,0,0,51,38,0,807,0,807,23.057142857142857,1.0,23.057142857142857
D Padikkal,28,546,439,0,0,56,20,0,642,0,642,22.928571428571427,1.0,22.928571428571427
Wp Saha,26,507,417,0,0,65,11,0,594,0,594,22.846153846153847,1.0,22.846153846153847
Yudhvir Singh,9,22,16,242,145,1,2,8,27,200,227,25.22222222222222,0.9,22.7
Wd Parnell,7,2,6,230,157,0,0,9,2,225,227,32.42857142857143,0.7,22.7
Pp Shaw,16,304,215,0,0,46,6,0,362,0,362,22.625,1.0,22.625
Da Miller,32,622,457,0,0,51,25,0,723,0,723,22.59375,1.0,22.59375
Th David,35,659,430,0,0,42,44,0,789,0,789,22.542857142857144,1.0,22.542857142857144
N Thushara,8,0,0,263,198,0,0,9,0,225,225,28.125,0.8,22.5
Akash Singh,9,0,0,284,184,0,0,9,0,225,225,25.0,0.9,22.5
Mp Yadav,6,0,0,177,129,0,0,9,0,225,225,37.5,0.6,22.5
So Hetmyer,35,657,459,0,0,39,41,0,778,0,778,22.228571428571428,1.0,22.228571428571428
Yash Dayal,34,4,8,1050,715,0,0,30,4,750,754,22.176470588235293,1.0,22.176470588235293
A Mishra,8,19,30,168,127,2,0,8,21,200,221,27.625,0.8,22.1
Sd Hope,9,183,125,0,0,12,12,0,219,0,219,24.333333333333332,0.9,21.9
Mg Bracewell,5,58,49,95,66,6,1,6,66,150,216,43.2,0.5,21.6
Kd Karthik,26,466,301,0,0,40,27,0,560,0,560,21.53846153846154,1.0,21.53846153846154
M Theekshana,29,10,27,914,690,0,0,24,10,600,610,21.03448275862069,1.0,21.03448275862069
As Joseph,10,7,12,327,214,1,0,8,8,200,208,20.8,1.0,20.8
Sameer Rizvi,9,172,126,0,0,15,9,0,205,0,205,22.77777777777778,0.9,20.5
Hc Brook,11,190,159,0,0,23,4,0,221,0,221,20.09090909090909,1.0,20.09090909090909
Rd Chahar,24,21,25,667,496,3,1,18,26,450,476,19.833333333333332,1.0,19.833333333333332
Swapnil Singh,9,39,26,149,104,3,3,6,48,150,198,22.0,0.9,19.8
Shahbaz Ahmed,27,266,222,461,264,11,14,9,305,225,530,19.62962962962963,1.0,19.62962962962963
M Shahrukh Khan,30,462,281,28,18,33,31,1,557,25,582,19.4,1.0,19.4
Abdul Samad,32,515,342,6,2,33,36,0,620,0,620,19.375,1.0,19.375
Anuj Rawat,12,189,152,0,0,16,7,0,219,0,219,18.25,1.0,18.25
Simarjeet Singh,8,3,7,251,143,0,0,7,3,175,178,22.25,0.8,17.8
Rp Meredith,5,0,2,198,126,0,0,7,0,175,175,35.0,0.5,17.5
N Burger,5,0,0,138,105,0,0,7,0,175,175,35.0,0.5,17.5
Ut Yadav,15,31,35,394,245,1,1,9,34,225,259,17.266666666666666,1.0,17.266666666666666
Suyash Sharma,27,0,0,799,569,0,0,18,0,450,450,16.666666666666668,1.0,16.666666666666668
A Manohar,13,184,164,0,0,9,11,0,215,0,215,16.53846153846154,1.0,16.53846153846154
Akash Deep,9,25,12,321,183,2,2,5,31,125,156,17.333333333333332,0.9,15.6
Mk Lomror,20,260,175,32,21,18,17,0,312,0,312,15.6,1.0,15.6
Ms Dhoni,36,461,299,0,0,29,35,0,560,0,560,15.555555555555555,1.0,15.555555555555555
At Rayudu,12,158,115,0,0,10,9,0,186,0,186,15.5,1.0,15.5
